layer_index,near_count,far_count,raw_mean_cosine_change_near,raw_mean_cosine_change_far,raw_difference_near_minus_far,layer_mean_cosine_change,layer_std_cosine_change
1,1365,36585,0.005507,0.005731,-0.000224,0.005722,0.001590
2,1365,36585,0.005313,0.007129,-0.001816,0.007064,0.001891
3,1365,36585,0.004244,0.004425,-0.000181,0.004419,0.001576
4,1365,36585,0.005479,0.002804,0.002676,0.002900,0.001986
5,1365,36585,0.005287,0.001376,0.003910,0.001517,0.001154
6,1365,36585,0.004932,0.001573,0.003359,0.001694,0.001033
7,1365,36585,0.004285,0.002074,0.002211,0.002153,0.000936
8,1365,36585,0.003658,0.003356,0.000302,0.003367,0.001167
9,1365,36585,0.006415,0.004827,0.001588,0.004884,0.001719
10,1365,36585,0.006598,0.002924,0.003675,0.003056,0.001805
11,1365,36585,0.006228,0.004928,0.001300,0.004975,0.002181
12,1365,36585,0.005964,0.006757,-0.000793,0.006729,0.001906
13,1365,36585,0.006419,0.009197,-0.002778,0.009097,0.002963
14,1365,36585,0.010522,0.010145,0.000377,0.010159,0.003637
15,1365,36585,0.010958,0.014574,-0.003616,0.014444,0.004977
16,1365,36585,0.009703,0.012015,-0.002312,0.011932,0.004832
17,1365,36585,0.015222,0.015395,-0.000173,0.015389,0.006447
18,1365,36585,0.022138,0.021575,0.000563,0.021595,0.008655
19,1365,36585,0.032983,0.026043,0.006940,0.026292,0.010474
20,1365,36585,0.034386,0.020286,0.014100,0.020793,0.009064
21,1365,36585,0.024896,0.012257,0.012639,0.012711,0.005766
22,1365,36585,0.016201,0.010121,0.006080,0.010339,0.004279
23,1365,36585,0.016318,0.006517,0.009801,0.006870,0.003783
24,1365,36585,0.015345,0.009581,0.005763,0.009789,0.004569
25,1365,36585,0.015778,0.008250,0.007528,0.008521,0.004089
26,1365,36585,0.019557,0.005801,0.013756,0.006296,0.005564
27,1365,36585,0.017088,0.006284,0.010804,0.006673,0.004943
28,1365,36585,0.018030,0.005162,0.012867,0.005625,0.005364
29,1365,36585,0.014350,0.006473,0.007877,0.006756,0.004650
30,1365,36585,0.018022,0.008401,0.009621,0.008747,0.005176
31,1365,36585,0.019995,0.010900,0.009095,0.011227,0.005137
32,1365,36585,0.017402,0.011648,0.005754,0.011855,0.005363
33,1365,36585,0.019071,0.014108,0.004963,0.014287,0.005401
34,1365,36585,0.017793,0.011201,0.006591,0.011438,0.005549
35,1365,36585,0.015886,0.013725,0.002161,0.013803,0.006780
36,1365,36585,0.015259,0.012631,0.002628,0.012726,0.004627
37,1365,36585,0.014075,0.009756,0.004319,0.009912,0.004228
38,1365,36585,0.020214,0.011737,0.008477,0.012042,0.005963
39,1365,36585,0.014192,0.013597,0.000596,0.013618,0.004681
40,1365,36585,0.018615,0.018082,0.000533,0.018101,0.006211
41,1365,36585,0.016048,0.015144,0.000904,0.015177,0.005691
42,1365,36585,0.021821,0.017725,0.004096,0.017872,0.006542
43,1365,36585,0.015888,0.018957,-0.003069,0.018846,0.006949
44,1365,36585,0.012077,0.012347,-0.000270,0.012337,0.004400
45,1365,36585,0.010586,0.013179,-0.002593,0.013086,0.004522
46,1365,36585,0.016251,0.026168,-0.009917,0.025811,0.013461
47,1365,36585,0.010803,0.013508,-0.002704,0.013410,0.011814
